;Ensemble;;;;;;Hommes;;;;;;Femmes;;;;;;;;;;;;
;0 à 19 ans;20 à 39 ans;40 à 59 ans;60 à 74 ans;75 ans et plus;Total;0 à 19 ans;20 à 39 ans;40 à 59 ans;60 à 74 ans;75 ans et plus;Total;0 à 19 ans;20 à 39 ans;40 à 59 ans;60 à 74 ans;75 ans et plus;Total;;;;;;;
Maine-et-Loire;207 151;199 357;205 801;106 653;72 360;791 322;105 292;99 632;101 992;50 060;27 488;384 464;101 859;99 725;103 809;56 593;44 872;406 858;;;;;;;
Manche;116 405;106 630;138 792;81 126;56 927;499 880;59 467;54 463;70 071;38 749;21 127;243 877;56 938;52 167;68 721;42 377;35 800;256 003;;;;;;;
Marne;139 355;149 062;151 670;78 081;46 589;564 757;71 519;75 092;74 016;37 022;16 511;274 160;67 836;73 970;77 654;41 059;30 078;290 597;;;;;;;
Haute-Marne;41 566;40 209;51 666;30 394;20 025;183 860;21 434;20 969;25 745;14 702;7 330;90 180;20 132;19 240;25 921;15 692;12 695;93 680;;;;;;;
Mayenne;80 402;70 021;82 064;43 864;32 528;308 879;41 385;35 671;41 535;20 828;12 736;152 155;39 017;34 350;40 529;23 036;19 792;156 724;;;;;;;
Meurthe-et-Moselle;176 946;197 623;194 274;100 538;63 802;733 183;90 401;99 495;94 723;47 208;22 951;354 778;86 545;98 128;99 551;53 330;40 851;378 405;;;;;;;
Meuse;46 106;45 759;54 403;28 772;19 141;194 181;23 817;23 879;27 565;13 966;6 982;96 209;22 289;21 880;26 838;14 806;12 159;97 972;;;;;;;
Morbihan;171 436;158 705;200 468;121 208;75 583;727 400;88 470;80 987;99 707;56 914;27 355;353 433;82 966;77 718;100 761;64 294;48 228;373 967;;;;;;;
Moselle;243 157;269 278;302 414;146 441;85 169;1 046 459;124 824;137 478;149 439;69 162;31 560;512 463;118 333;131 800;152 975;77 279;53 609;533 996;;;;;;;
Nièvre;44 708;43 413;60 928;41 477;29 393;219 919;22 770;21 995;29 934;19 808;10 633;105 140;21 938;21 418;30 994;21 669;18 760;114 779;;;;;;;
Nord;699 649;707 493;665 655;318 577;188 969;2 580 343;358 886;352 189;324 936;145 745;63 679;1 245 435;340 763;355 304;340 719;172 832;125 290;1 334 908;;;;;;;
Oise;217 143;208 362;223 753;102 185;54 249;805 692;111 177;104 472;111 017;49 777;20 110;396 553;105 966;103 890;112 736;52 408;34 139;409 139;;;;;;;
Orne;69 199;60 900;79 917;48 405;33 883;292 304;35 803;30 536;39 923;23 063;12 961;142 286;33 396;30 364;39 994;25 342;20 922;150 018;;;;;;;
